,_id,单价_2018_07_01,周边价格,地理位置,楼盘名称,网址
0,5b38d5bbc3666eb3a63426a8,22000元/㎡,无,[ 经济开发区 - 行政中心 ] 未央路与凤城八路十字东南角,正尚国际金融广场,https://xa.fang.anjuke.com/loupan/413621.html
1,5b38d5bdc3666eb3a53426a8,住宅4950元/㎡,无,[ 城东 - 兴庆公园 ] 城东咸宁西路29号（兴庆公园南门西200米）,兴庆宫馆,https://xa.fang.anjuke.com/loupan/242505.html
2,5b38d5bdc3666eb3a33426a8,11000,无,[ 高新 - 高新路 ] 科技三路与沣惠南路交汇处往西200米,融城云谷,https://xa.fang.anjuke.com/loupan/413594.html
3,5b38d5bdc3666eb3a23426a8,15500,无,[ 城西 - 大兴新区 ] 西安市大兴新区梨园路308号（和生国际东邻）,乔布斯公馆2期,https://xa.fang.anjuke.com/loupan/432172.html
4,5b38d5bdc3666eb3a03426a8,待定,12000,[ 经济开发区 - 行政中心 ] 尚宏路与尚林路交汇处向西100米,中南紫云集,https://xa.fang.anjuke.com/loupan/435839.html
5,5b38d5bec3666eb3a83426a8,17000元/㎡,无,[ 浐灞 - 浐河 ] 长乐路浐河东岸地铁1号线浐河站A1出口,广厦水岸东方商铺,https://xa.fang.anjuke.com/loupan/410533.html
6,5b38d5bec3666eb3a13426a8,待定,11667,[ 长安 - 大学城 ] 子午大道与韦曲建材西街交叉口东南角,魅力长安,https://xa.fang.anjuke.com/loupan/252827.html
7,5b38d5bfc3666eb3a23426ac,住宅6250元/㎡,无,[ 城北 - 未央大学城 ] 未央湖工商所东侧（湖滨路与向上路交汇处东北角）,华豪花园洋房（华浮宫花园洋房）,https://xa.fang.anjuke.com/loupan/242966.html
8,5b38d5c0c3666eb3a93426a8,待定,12250,"[ 西咸新区 - 沣西新城 ] 世纪大道,近韩非路",世纪优盘,https://xa.fang.anjuke.com/loupan/242686.html
9,5b38d5c0c3666eb3a03426ac,住宅5500元/㎡,无,[ 西咸新区 - 沣东新城 ] 西咸新区世纪大道中段路南（陈阳寨现代综合开发区内）,南海家缘,https://xa.fang.anjuke.com/loupan/242532.html
10,5b38d5c0c3666eb3a73426a8,待定,19562,[ 曲江区 - 曲江新区 ] 公园南路与黄渠头南路交汇处西北角,唐顿庄园,https://xa.fang.anjuke.com/loupan/415032.html
